If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
The Future of Business is Design,The End Of Apps As We Know Them - Inside Intercom,A digital crack in banking's business model,Embracing Agile,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Staying one step ahead at Pixar: An interview with Ed Catmull
Visa inaugura centro para inovação em pagamento digital | EXAME.com,Android Developers Summer Reading List,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,"How to build a robot that ""sees"" with $100 and TensorFlow",The Business Case for Progressive Web Apps,15 Interesting JavaScript and CSS Libraries for October 2016
Seniority,When to make a Git Commit,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Client-side ranking to more efficiently show people stories in feed,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Live asynchronously.
This Super Accurate Portrait Selection Tech Uses Neural Networks,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Why Google App Engine rocks: A Google engineer's take,5 reasons your employees aren't sharing their knowledge,Wide & Deep Learning: Better Together with TensorFlow
Steak Tartare com Salada Verde,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,The Genderbread Person v3 | It's Pronounced Metrosexual,Good developers take breaks * Greetings Programs,Introducing Ask a Female Engineer
The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,An overview of web service solutions in Drupal 8,Acquia Engage Awards Finalists Announced,Dries Buytaert
Starbucks tem mais dinheiro do cliente em cartões do que bancos,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Goodbye accountants! Startup builds AI to automate all your accounting,Mobile banking conquista o coração dos brasileiros,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Banking Needs a Customer Experience Wake-Up Call
Advanced Android Espresso,My favorite people and resources to learn Android programming from,Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,The Importance of Code Reviews
Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
What to look for in a code review ,Ultimate AI battle - Apple vs. Google,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,The Broken Window Theory,Meet Aquifer: A build system for easier Drupal development,Don't document your code. Code your documentation.
"Spanner, the Google Database That Mastered Time, Is Now Open to Everyone","What do you mean by ""Event-Driven""?",Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Sobre o Hipsters Ponto Tech,When to make a Git Commit,How enterprise architects can help ensure success with digital transformations
Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Client-side ranking to more efficiently show people stories in feed,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Liberty vai adotar telemetria e baratear seguro para bons motoristas
VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar,"Agile is Dead, Long Live Continuous Delivery - Gradle",Do you want Crappy Agile?,Kotlin no Backend (Parte 2) :: Concrete Solutions,Changing change management,"Microsoft adquire LinkedIn por US$ 26,2 bilhões"
"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",StrictMode for Runtime Analysis on Android - Google Developers,"Fresco, sim! - Android Dev BR",Creating Compound Views on Android,Android Mobile Vision restores operation and adds Text API | Android Developers Blog,The Importance of Code Reviews
Listas com RecyclerView - Android Dev BR,Using DiffUtil in Android RecyclerView,Usando o git add interativo,Sobre o Hipsters Ponto Tech,Sam Newman - Backends For Frontends,Seniority
Kotlin no Backend (Parte 2) :: Concrete Solutions,"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,Building Flipkart Lite: A Progressive Web App,Standing on the Shoulders of Giants - Built to Adapt,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
O que é liderança? Liderança é fazer a diversidade funcionar.,"Little girls doubt that women can be brilliant, study shows","Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Workplace diversity in Brazil: there's still a long way to go,Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery
"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",Google Cloud Goes to the Farm,Why image recognition is about to transform business,Nespresso,How to Create an Exponential Mindset,This startup uses machine learning and satellite imagery to predict crop yields
Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Android Developers Summer Reading List,DBA BRASIL no INTEROPMIX 2016,Visa inaugura centro para inovação em pagamento digital | EXAME.com,bliki: StranglerApplication,Closure Compiler in JavaScript
How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,Front in BH 2016,Python Is Not Java (dirtSimple.org),Google Cloud Platform sets a course for new horizons,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês
"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Why Evernote Is Giving Up on Its Data Centers for Google Cloud,Closure Compiler in JavaScript,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Chrome OS now has Material Design for the desktop,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello"
"5 awesome Google Keep features you aren't using, but should be",The AI business landscape,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery","Secret's founder returns with Bold, a Medium for enterprise",The Physical Web,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
5 reasons your employees aren't sharing their knowledge,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","Secret's founder returns with Bold, a Medium for enterprise",Text summarization with TensorFlow,The AI business landscape,This Super Accurate Portrait Selection Tech Uses Neural Networks
Novo padrão de rede cabeada pode oferecer até 5 Gbps transferência de dados,Containers are not VMs,Most Interesting APIs in 2016: Cognitive Computing,CSS Containment in Chrome 52 | Web Updates - Google Developers,Hacked Website Report - 2016/Q3,Google lança YouTube Kids no Brasil | Google Discovery
"How to build a robot that ""sees"" with $100 and TensorFlow",15 Interesting JavaScript and CSS Libraries for October 2016,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,Visa inaugura centro para inovação em pagamento digital | EXAME.com,Cubr,Dark Scrum
Getting Started with Activity & Fragment Transitions (part 1),Up your app's sharing game with DirectShare - Google Developers,Building more accessible technology,Designing smart notifications,StrictMode for Runtime Analysis on Android - Google Developers,How to Design a Walkthrough That Users Will Read
Building more accessible technology,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Designing smart notifications,Up your app's sharing game with DirectShare - Google Developers,Getting Started with Activity & Fragment Transitions (part 1),"Google acquires Synergyse, an interactive training service for Google Apps"
Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Microsoft's Open Source Love Affair Reaches New Heights,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,My experience with Google's Associate Android Developer Certification,SOA com microserviços - Sensedia,Why Learning Angular 2 Was Excruciating
Engineering Digital Banking Solutions Using UX Methodology,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Shopping app Spring's redesign could be a game-changer,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Design Kit: Prototyping,É chegada a hora do desenvolvimento de software orientado por hipóteses - CIO
This startup uses machine learning and satellite imagery to predict crop yields,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog","Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs",Google Cloud Goes to the Farm,Algorithms and architecture for job recommendations,How to Create an Exponential Mindset
"Para neurociência, motivação não é fator principal em mudança de hábitos",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,What Science Tells Us About Leadership Potential,O que você deve fazer para se tornar um líder melhor?,Cinco competências comportamentais para você ser um bom líder
Google lança YouTube Kids no Brasil | Google Discovery,This Super Accurate Portrait Selection Tech Uses Neural Networks,Powering a more connected and collaborative enterprise,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery","Google launches Springboard, an AI-powered assistant for its enterprise customers",How Mark Zuckerberg Led Facebook's War to Crush Google Plus
The Broken Window Theory,Advanced Android Espresso,My favorite people and resources to learn Android programming from,Firebase Test Lab for Android,The Importance of Code Reviews,StrictMode for Runtime Analysis on Android - Google Developers
Android Developers Summer Reading List,Visa inaugura centro para inovação em pagamento digital | EXAME.com,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Using DiffUtil in Android RecyclerView,Programação Reativa Funcional com RxJava,"Fresco, sim! - Android Dev BR"
